q_id,Gender,Name,NumSeasons,AvgPER,CareerPoints
1,female,Candace Parker,15,24.46,6412
1,male,Chris Mills,10,13.0,6357
1,male,Jack Coleman,9,15.5,6324
1,male,Rasual Butler,15,10.34,6314
1,male,Ron Boone,7,11.06,6288
1,male,Andres Nocioni,10,11.56,6282
1,female,Lisa Leslie,12,24.26,6263
1,male,Mark Blount,13,11.56,6256
1,male,Bob Sura,12,14.22,6250
1,male,Tree Rollins,18,11.93,6249
1,male,Brendan Haywood,15,14.19,6242
1,male,Trent Tucker,11,12.89,6236
1,male,Jeff McInnis,13,12.17,6224
1,male,Chris Wilcox,15,14.85,6223
1,male,Butch Beard,11,14.24,6222
1,male,Earl Watson,15,11.65,6216
1,male,Marco Belinelli,10,11.71,6209
1,male,Phil Jordon,11,14.05,6209
1,male,Jimmy Butler,6,18.15,6208
1,male,Clyde Lee,12,11.87,6204
1,male,Kris Humphries,18,14.45,6180
1,male,DeAndre Jordan,9,17.42,6151
1,male,Brandon Roy,6,17.48,6136
1,male,Phil Ford,9,11.99,6118
1,male,Hubert Davis,16,8.45,6111
1,male,Markieff Morris,8,13.7,6103
1,male,Larry Siegfried,11,11.91,6078
1,male,Bob Kauffman,7,15.31,6049
1,male,Joe Meriweather,12,12.31,6049
1,male,Reggie Jackson,8,15.74,6036
1,female,Lauren Jackson,12,26.62,6005
1,male,J.J. Barea,11,13.69,5977
1,male,Tyronn Lue,17,11.84,5970
1,male,Greg Smith,17,9.67,5965
1,male,Bryant Stith,10,12.29,5946
1,male,Swen Nater,8,15.26,5943
1,male,Brevin Knight,17,13.58,5936
1,male,Jim Cleamons,11,12.29,5931
1,male,Quinn Buckner,10,12.58,5929
1,male,Cliff Levingston,11,13.4,5888
1,male,Othella Harrington,14,11.51,5877
1,male,Hakim Warrick,12,15.68,5874
1,male,Fred Hetzel,8,14.45,5869
1,male,Mario Chalmers,10,13.11,5864
1,male,Darnell Valentine,11,13.56,5856
1,male,M.L. Carr,9,12.29,5853
1,male,Marreese Speights,11,16.9,5848
1,male,Ollie Johnson,12,12.67,5842
1,female,Becky Hammon,15,19.35,5839
1,male,Dave Robisch,15,11.83,5832
1,male,Clifford Ray,10,13.7,5821
1,male,Nikola Vucevic,6,18.77,5807
1,male,Derek Smith,11,13.75,5800
1,male,Howard Eisley,18,9.93,5797
1,female,Angel McCoughtry,11,23.15,5797
1,male,Jim Barnes,13,12.21,5785
1,male,Lucious Harris,12,12.43,5784
1,male,Bob Ferry,10,13.09,5780
1,male,Jack George,10,11.52,5772
1,male,Eric Murdock,11,15.69,5765
1,male,Jeff Ruland,8,15.28,5763
1,male,Anthony Morrow,13,12.59,5762
1,male,Mike Sanders,15,12.03,5748
1,male,Ed Conlin,9,12.61,5746
1,male,Don Adams,11,9.45,5742
1,male,J.J. Hickson,12,15.83,5739
1,male,Bradley Beal,5,15.5,5728
1,male,Malik Rose,17,11.31,5667
1,male,Arvydas Sabonis*,7,21.0,5629
1,male,Tom Owens,7,15.41,5612
1,male,Jordan Crawford,11,13.32,5593
1,male,Shandon Anderson,12,9.5,5582
1,male,Travis Outlaw,13,13.33,5582
1,male,Steve Kerr,17,12.48,5571
1,female,DeLisha Milton-Jones,17,14.39,5571
1,female,Katie Douglas,14,18.2,5560
1,male,John Paxson,11,11.65,5560
1,male,Joakim Noah,10,17.1,5557
1,male,Mike McGee,11,13.32,5543
1,female,Lindsay Whalen,15,18.3,5523
1,male,Rasho Nesterovic,12,12.58,5519
1,male,Tony Battie,16,11.86,5490
1,male,Bruce Bowen,15,9.68,5486
1,male,Robin Lopez,9,15.9,5483
1,male,Eric Bledsoe,7,16.87,5480
1,male,Luke Jackson,14,10.74,5470
1,male,Freeman Williams,8,14.64,5458
1,male,Geoff Huston,10,11.76,5453
1,male,Bucky Bockhorn,7,10.2,5430
1,male,Phil Jackson*,12,11.86,5428
1,male,Howard Porter,11,13.64,5425
1,male,Bob Wilkerson,7,11.16,5424
1,male,Bill Hanzlik,10,10.86,5414
1,male,John Salley,13,11.86,5413
1,male,Gerald Green,12,17.43,5393
1,male,Matt Guokas,17,8.84,5391
1,male,Dion Waiters,7,12.11,5378
1,male,Winston Garland,9,11.74,5373
1,male,Al Wood,8,13.22,5356
1,male,Bo Outlaw,17,12.81,5346
1,male,John Battle,10,13.1,5338
1,male,Kermit Washington,12,15.18,5330
1,male,Steve Stipanovich,5,15.06,5323
1,male,Randy Breuer,13,12.19,5321
1,male,Chuck Share,10,17.79,5321
1,male,Joe Kleine,20,9.18,5318
1,male,Barry Clemens,11,12.48,5312
1,male,Gene Banks,6,14.9,5305
1,male,Walt Wesley,14,12.2,5282
1,male,Kyle Macy,7,13.9,5259
1,male,Joe Bryant,8,12.53,5252
